Austin,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Average high in °F:,62,65,72,80,87,92,96,97,91,82,71,63
Average low in °F:,42,45,51,59,67,72,74,75,69,61,51,42
Av. precipitation in inch:,2.2,2.01,2.76,2.09,4.37,4.33,1.89,2.36,2.99,3.9,2.95,2.4
,,,,,,,,,,,,
Dallas,,,,,,,,,,,,
Average high in °F:,57,61,69,77,84,91,95,96,89,80,68,58
Average low in °F:,30,35,42,51,60,67,71,71,64,52,43,32
Av. precipitation in inch:,2.32,2.99,3.7,3.43,4.61,4.65,2.8,2.13,3.35,4.88,3.31,2.8
,,,,,,,,,,,,
Ft. Worth,,,,,,,,,,,,
Average high in °F:,57,60,68,76,83,91,96,97,89,79,67,57
Average low in °F:,33,36,44,53,63,70,74,73,66,54,45,35
Av. precipitation in inch:,2.05,2.6,3.5,3.07,4.92,4.09,2.2,1.85,2.83,4.8,2.87,2.76
,,,,,,,,,,,,
Houston,,,,,,,,,,,,
Average high in °F:,62,65,72,78,84,90,92,93,88,81,71,63
Average low in °F:,44,46,54,60,66,72,74,74,70,61,52,45
Av. precipitation in inch:,3.7,3.23,2.4,3.43,4.45,3.82,5.16,3.54,3.82,3.58,4.06,4.09
,,,,,,,,,,,,
San Antonio,,,,,,,,,,,,
Average high in °F:,62,67,74,80,86,91,95,95,90,82,71,64
Average low in °F:,39,42,50,57,65,72,74,74,69,59,49,41
Av. precipitation in inch:,1.65,1.73,1.89,2.6,4.72,4.29,2.05,2.56,2.99,3.86,2.6,1.97
,,,,,,,,,,,,